id,duration,journey_id,updated_at,,,created_at,,,,,,start_longitude,start_latitude,end_longitude,end_latitude,trip_dist,,,,,,,
13600,960,532,07/03/2020 16:01,,,07/03/2020 16:01,,,,,,-0.146936,51.515999,-0.146936,51.515999,1089.057814,,,,,,,
13602,1380,533,07/03/2020 16:02,,,07/03/2020 16:02,,,,,,-0.146936,51.515999,-0.146936,51.515999,1368.741145,,,,,,,
13652,4020,534,07/03/2020 16:56,,,07/03/2020 16:56,,,,,,-0.141474,51.514033,-0.141474,51.514033,0,,,,,,,
13655,3120,535,07/03/2020 16:57,,,07/03/2020 16:57,,,,,,-0.141798,51.513996,-0.141798,51.513996,3049.108198,,,,,,,
13699,5040,536,07/03/2020 17:24,,,07/03/2020 17:24,,,,,,-0.237751,51.53566,-0.237751,51.53566,2492.548463,,,,,,,
13700,720,537,07/03/2020 17:29,,,07/03/2020 17:29,,,,,,-0.433756,51.493284,-0.420238,51.508533,2731.619124,,,,,,,
13768,1020,538,07/03/2020 19:00,,,07/03/2020 19:00,,,,,,-0.220612,51.507989,-0.220612,51.507989,0,,,,,,,
13776,1740,539,07/03/2020 21:45,,,07/03/2020 21:45,,,,,,-0.181588,51.599805,-0.181588,51.599805,0,,,,,,,
13777,2220,540,07/03/2020 22:02,,,07/03/2020 22:02,,,,,,-0.124019,51.513027,-0.124019,51.513027,0,,,,,,,
13778,300,541,07/03/2020 23:36,,,07/03/2020 23:36,,,,,,-0.140154,51.536118,-0.116238,51.559769,794.9956403,,,,,,,
13879,660,542,08/03/2020 08:43,,,08/03/2020 08:43,,,,,,-0.126861,51.481094,-0.126861,51.481094,1982.40135,,,,,,,
13880,600,543,08/03/2020 09:48,,,08/03/2020 09:48,,,,,,0.03871,51.542992,0.080913,51.526337,1916.298092,,,,,,,
13958,900,544,08/03/2020 11:04,,,08/03/2020 11:04,,,,,,-0.189561,51.520217,-0.189561,51.520217,1089.057814,,,,,,,
13959,840,545,08/03/2020 11:36,,,08/03/2020 11:36,,,,,,0.072208,51.533888,-0.104683,51.590401,2208.819633,,,,,,,
13963,1140,546,08/03/2020 11:38,,,08/03/2020 11:38,,,,,,-0.098383,51.476827,-0.098383,51.476827,1746.726826,,,,,,,
14015,2760,547,08/03/2020 12:04,,,08/03/2020 12:04,,,,,,0.080913,51.526335,0.072241,51.521797,0,,,,,,,
14112,1080,548,08/03/2020 12:47,,,08/03/2020 12:47,,,,,,0.004021,51.444482,-0.013943,51.465614,2492.548463,,,,,,,
14135,1020,549,08/03/2020 13:21,,,08/03/2020 13:21,,,,,,0.07222,51.521771,0.038453,51.540688,1217.716526,,,,,,,
14226,720,550,08/03/2020 14:17,,,08/03/2020 14:17,,,,,,-0.144902,51.44205,-0.144902,51.44205,342.0790639,,,,,,,
14346,600,551,08/03/2020 16:09,,,08/03/2020 16:09,,,,,,-0.08098,51.531574,-0.08098,51.531574,1217.716526,,,,,,,
14368,780,552,08/03/2020 18:07,,,08/03/2020 18:07,,,,,,-0.107521,51.599658,-0.107521,51.599658,1053.798685,,,,,,,
14369,1620,553,08/03/2020 18:44,,,08/03/2020 18:44,,,,,,-0.103547,51.600503,-0.90003,52.21497,1217.716526,,,,,,,
14513,900,554,08/03/2020 20:25,,,08/03/2020 20:25,,,,,,-0.006792,51.454946,-0.006792,51.454946,873.4714024,,,,,,,
14638,1080,555,08/03/2020 22:35,,,08/03/2020 22:35,,,,,,-0.117515,51.461889,-0.117515,51.461889,2182.946733,,,,,,,
14639,180,556,09/03/2020 07:20,,,09/03/2020 07:20,,,,,,0.343317,51.634127,0.343317,51.634127,834.9431793,,,,,,,
14640,360,557,09/03/2020 07:48,,,09/03/2020 07:48,,,,,,-0.182923,51.474189,-0.047707,51.49337,0,,,,,,,
14642,1740,558,09/03/2020 07:49,,,09/03/2020 07:49,,,,,,-0.132244,51.461829,-0.132244,51.461829,0,,,,,,,
14653,1020,559,09/03/2020 07:54,,,09/03/2020 07:54,,,,,,-0.203496,51.548797,-0.203496,51.548797,3703.676124,,,,,,,
14656,780,560,09/03/2020 07:55,,,09/03/2020 07:55,,,,,,-0.006727,51.454886,-0.006727,51.454886,2091.227707,,,,,,,
14662,5220,561,09/03/2020 07:58,,,09/03/2020 07:58,,,,,,0.038514,51.542751,0.002403,51.538403,0,,,,,,,
14691,1800,562,09/03/2020 08:09,,,09/03/2020 08:09,,,,,,-0.11736,51.461924,-0.11736,51.461926,0,,,,,,,
14791,240,563,09/03/2020 08:42,,,09/03/2020 08:42,,,,,,-0.169171,51.477307,-0.169171,51.477307,514.3387893,,,,,,,
14795,1140,564,09/03/2020 08:44,,,09/03/2020 08:44,,,,,,-0.169905,51.466422,-0.169905,51.466422,0,,,,,,,
14800,3300,565,09/03/2020 08:53,,,09/03/2020 08:53,,,,,,-0.077404,51.529061,-0.077404,51.529061,926.5288194,,,,,,,
14804,1380,566,09/03/2020 08:55,,,09/03/2020 08:55,,,,,,-0.100431,51.5048,-0.100431,51.5048,1626.971757,,,,,,,
14814,3300,567,09/03/2020 09:14,,,09/03/2020 09:14,,,,,,-0.08601,51.510492,-0.08601,51.510492,0,,,,,,,
14815,480,568,09/03/2020 09:35,,,09/03/2020 09:35,,,,,,-0.181556,51.59975,-0.181556,51.59975,1066.294747,,,,,,,
14816,4440,569,09/03/2020 09:59,,,09/03/2020 09:59,,,,,,-0.100413,51.504811,-0.100428,51.504829,0,,,,,,,
14873,3600,570,09/03/2020 11:33,,,09/03/2020 11:33,,,,,,-0.433698,51.49328,-0.431247,51.495461,1517.441034,,,,,,,
