group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,,
1,12410,468,51.50481,-0.100397,05/03/2020 00:00,08:59:00,05/03/2020 00:00,09:07:00,00:08:00,2,16163,637,51.507279,-0.22447,10/03/2020 00:00,10:21:00,10/03/2020 00:00,10:21:00,00:00:00,3,18612,837,51.343982,-0.109449,14/03/2020 00:00,11:19:00,14/03/2020 00:00,11:19:00,00:00:00,,
1,12438,469,51.405658,-0.162306,05/03/2020 00:00,10:18:00,05/03/2020 00:00,11:04:00,00:46:00,2,16164,638,51.491236,-0.231737,10/03/2020 00:00,10:24:00,10/03/2020 00:00,10:24:00,00:00:00,3,18613,838,51.414245,-0.060396,14/03/2020 00:00,11:52:00,14/03/2020 00:00,11:52:00,00:00:00,,
1,12475,470,53.480323,-2.241101,05/03/2020 00:00,10:39:00,05/03/2020 00:00,10:39:00,00:00:00,2,16165,639,51.454902,-0.006732,10/03/2020 00:00,10:50:00,10/03/2020 00:00,10:50:00,00:00:00,3,18614,839,51.414245,-0.060396,14/03/2020 00:00,11:56:00,14/03/2020 00:00,11:56:00,00:00:00,,
1,12517,471,51.505002,-0.100435,05/03/2020 00:00,11:00:00,05/03/2020 00:00,11:00:00,00:00:00,2,16166,640,51.494731,-0.240307,10/03/2020 00:00,11:09:00,10/03/2020 00:00,13:43:00,02:34:00,3,18615,840,51.461884,-0.117358,14/03/2020 00:00,12:05:00,14/03/2020 00:00,12:56:00,00:51:00,,
1,12526,472,51.50499,-0.100444,05/03/2020 00:00,11:09:00,05/03/2020 00:00,11:09:00,00:00:00,2,16190,641,51.492272,-0.223392,10/03/2020 00:00,11:21:00,10/03/2020 00:00,11:21:00,00:00:00,3,18625,841,51.598142,-0.284894,14/03/2020 00:00,12:29:00,14/03/2020 00:00,12:29:00,00:00:00,,
1,12527,473,51.504813,-0.100123,05/03/2020 00:00,11:16:00,05/03/2020 00:00,11:16:00,00:00:00,2,16220,642,51.343937,-0.108875,10/03/2020 00:00,11:54:00,10/03/2020 00:00,11:54:00,00:00:00,3,18626,842,51.598142,-0.284894,14/03/2020 00:00,12:32:00,14/03/2020 00:00,12:32:00,00:00:00,,
1,12528,474,51.504813,-0.100123,05/03/2020 00:00,11:16:00,05/03/2020 00:00,11:45:00,00:29:00,2,16229,643,51.515696,-0.099745,10/03/2020 00:00,12:00:00,10/03/2020 00:00,12:00:00,00:00:00,3,18632,843,51.542471,0.071655,14/03/2020 00:00,12:40:00,14/03/2020 00:00,12:40:00,00:00:00,,
1,12582,475,51.504969,-0.100407,05/03/2020 00:00,11:43:00,05/03/2020 00:00,11:43:00,00:00:00,2,16234,644,51.536623,-0.004258,10/03/2020 00:00,12:16:00,10/03/2020 00:00,12:16:00,00:00:00,3,18634,844,51.533393,-0.222552,14/03/2020 00:00,12:46:00,14/03/2020 00:00,12:46:00,00:00:00,,
1,12586,476,51.506586,-0.1029,05/03/2020 00:00,12:43:00,05/03/2020 00:00,13:41:00,00:58:00,2,16241,645,51.578468,-0.128114,10/03/2020 00:00,12:32:00,10/03/2020 00:00,13:34:00,01:02:00,3,18637,845,51.447946,-0.337,14/03/2020 00:00,12:50:00,14/03/2020 00:00,13:47:00,00:57:00,,
1,12619,477,51.504813,-0.100405,05/03/2020 00:00,14:23:00,05/03/2020 00:00,14:23:00,00:00:00,2,16354,646,51.523762,-0.098952,10/03/2020 00:00,13:21:00,10/03/2020 00:00,13:21:00,00:00:00,3,18655,846,51.496335,-0.070948,14/03/2020 00:00,13:00:00,14/03/2020 00:00,13:00:00,00:00:00,,
1,12620,478,51.504973,-0.100349,05/03/2020 00:00,15:19:00,05/03/2020 00:00,15:19:00,00:00:00,2,16389,647,51.600358,-0.182138,10/03/2020 00:00,13:34:00,10/03/2020 00:00,13:34:00,00:00:00,3,18673,847,51.475204,-0.047531,14/03/2020 00:00,13:18:00,14/03/2020 00:00,13:52:00,00:34:00,,
1,12621,479,51.50481,-0.100412,05/03/2020 00:00,15:37:00,05/03/2020 00:00,20:08:00,04:31:00,2,16399,648,51.490384,-0.093657,10/03/2020 00:00,13:43:00,10/03/2020 00:00,13:48:00,00:05:00,3,18689,848,51.389762,-0.124726,14/03/2020 00:00,13:37:00,14/03/2020 00:00,13:37:00,00:00:00,,
1,12626,480,51.536516,-0.140086,05/03/2020 00:00,16:03:00,05/03/2020 00:00,17:07:00,01:04:00,2,16411,649,51.51625,-0.103469,10/03/2020 00:00,13:58:00,10/03/2020 00:00,13:58:00,00:00:00,3,18703,849,51.462327,-0.111411,14/03/2020 00:00,13:50:00,14/03/2020 00:00,14:29:00,00:39:00,,
1,12736,481,51.50998,-0.1337,05/03/2020 00:00,16:48:00,05/03/2020 00:00,16:48:00,00:00:00,2,16412,650,51.461035,-0.205859,10/03/2020 00:00,14:02:00,10/03/2020 00:00,14:02:00,00:00:00,3,18704,850,51.583775,-0.2294,14/03/2020 00:00,13:51:00,14/03/2020 00:00,13:51:00,00:00:00,,
1,12747,482,51.50998,-0.1337,05/03/2020 00:00,16:50:00,05/03/2020 00:00,16:50:00,00:00:00,2,16413,651,51.461059,-0.205872,10/03/2020 00:00,14:03:00,10/03/2020 00:00,14:03:00,00:00:00,3,18713,851,51.578005,-0.321268,14/03/2020 00:00,14:11:00,14/03/2020 00:00,14:52:00,00:41:00,,
1,12775,483,51.504996,-0.100452,05/03/2020 00:00,16:58:00,05/03/2020 00:00,16:58:00,00:00:00,2,16414,652,51.461077,-0.205863,10/03/2020 00:00,14:03:00,10/03/2020 00:00,14:03:00,00:00:00,3,18799,852,51.566593,0.003764,14/03/2020 00:00,14:50:00,14/03/2020 00:00,15:03:00,00:13:00,,
1,12780,484,51.432258,0.102426,05/03/2020 00:00,17:00:00,05/03/2020 00:00,19:59:00,02:59:00,2,16415,653,51.46119,-0.205871,10/03/2020 00:00,14:04:00,10/03/2020 00:00,14:04:00,00:00:00,3,18830,853,51.536621,-0.00449,14/03/2020 00:00,15:14:00,14/03/2020 00:00,15:14:00,00:00:00,,
1,12915,485,51.40791,0.111013,05/03/2020 00:00,20:00:00,05/03/2020 00:00,20:00:00,00:00:00,2,16416,654,51.461129,-0.205849,10/03/2020 00:00,14:04:00,10/03/2020 00:00,14:04:00,00:00:00,3,18831,854,51.513018,-0.169292,14/03/2020 00:00,15:21:00,14/03/2020 00:00,15:21:00,00:00:00,,
1,12917,486,51.407928,0.111094,05/03/2020 00:00,20:06:00,05/03/2020 00:00,20:06:00,00:00:00,2,16417,655,51.461116,-0.206505,10/03/2020 00:00,14:06:00,10/03/2020 00:00,14:06:00,00:00:00,3,18832,855,51.578748,-0.100753,14/03/2020 00:00,15:40:00,14/03/2020 00:00,15:40:00,00:00:00,,
1,12918,487,51.407928,0.111094,05/03/2020 00:00,20:07:00,05/03/2020 00:00,20:07:00,00:00:00,2,16418,656,51.461044,-0.206658,10/03/2020 00:00,14:06:00,10/03/2020 00:00,14:06:00,00:00:00,3,18833,856,51.376879,-0.080682,14/03/2020 00:00,15:43:00,14/03/2020 00:00,15:43:00,00:00:00,,
1,12920,488,51.578437,-0.128084,06/03/2020 00:00,05:18:00,06/03/2020 00:00,07:30:00,02:12:00,2,16419,657,51.424106,-0.056424,10/03/2020 00:00,15:12:00,10/03/2020 00:00,15:12:00,00:00:00,3,18834,857,51.494106,-0.235453,14/03/2020 00:00,16:04:00,14/03/2020 00:00,18:45:00,02:41:00,,
1,13029,489,51.543201,0.038723,06/03/2020 00:00,07:55:00,06/03/2020 00:00,08:22:00,00:27:00,2,16420,658,51.531061,-0.08416,10/03/2020 00:00,15:26:00,10/03/2020 00:00,15:26:00,00:00:00,3,18845,858,51.602385,-0.015564,14/03/2020 00:00,16:11:00,14/03/2020 00:00,16:11:00,00:00:00,,
1,13046,490,51.443037,-0.385142,06/03/2020 00:00,09:53:00,06/03/2020 00:00,11:19:00,01:26:00,2,16421,659,51.471726,-0.488628,10/03/2020 00:00,15:39:00,10/03/2020 00:00,15:39:00,00:00:00,3,18868,859,51.533377,-0.222564,14/03/2020 00:00,16:40:00,14/03/2020 00:00,16:40:00,00:00:00,,
1,13122,491,51.504844,-0.100278,06/03/2020 00:00,12:44:00,06/03/2020 00:00,13:06:00,00:22:00,2,16422,660,51.504831,-0.10019,10/03/2020 00:00,15:39:00,10/03/2020 00:00,15:50:00,00:11:00,3,18872,860,51.457934,-0.189216,14/03/2020 00:00,16:42:00,14/03/2020 00:00,16:42:00,00:00:00,,
1,13132,492,51.478999,-0.327673,06/03/2020 00:00,13:20:00,06/03/2020 00:00,14:08:00,00:48:00,2,16436,661,51.48849,-0.079297,10/03/2020 00:00,15:49:00,10/03/2020 00:00,15:49:00,00:00:00,3,18907,861,51.573326,-0.35854,14/03/2020 00:00,17:00:00,14/03/2020 00:00,20:03:00,03:03:00,,
1,13135,493,51.444467,0.004055,06/03/2020 00:00,13:23:00,06/03/2020 00:00,13:24:00,00:01:00,2,16438,662,51.522793,-0.093277,10/03/2020 00:00,15:59:00,10/03/2020 00:00,15:59:00,00:00:00,3,18951,862,51.596764,-0.24533,14/03/2020 00:00,17:12:00,14/03/2020 00:00,17:12:00,00:00:00,,
