id,user_id,bag_id,created_at,updated_at,completed_at,cancelled_at,,,,
578,1194,HTTP://BBQR.IO/BQSOR03974,09/03/2020 12:08,09/03/2020 12:09,NULL,09/03/2020 12:09,NULL,NULL,NULL,NULL
579,1194,HTTP://BBQR.IO/BQSOR03974,09/03/2020 12:09,09/03/2020 15:08,NULL,09/03/2020 15:08,NULL,NULL,NULL,NULL
600,1194,HTTP://BBQR.IO/BQBET01608,09/03/2020 15:45,09/03/2020 15:46,NULL,09/03/2020 15:46,NULL,NULL,NULL,NULL
602,1194,HTTP://BBQR.IO/BQSOR05080,09/03/2020 15:56,09/03/2020 15:57,NULL,09/03/2020 15:57,NULL,NULL,NULL,NULL
733,1194,HTTP://BBQR.IO/BQSOR05130,11/03/2020 14:27,11/03/2020 14:28,NULL,11/03/2020 14:28,NULL,NULL,NULL,NULL
928,1194,HTTP://BBQR.IO/BQBET01608,16/03/2020 10:48,16/03/2020 10:54,NULL,16/03/2020 10:54,NULL,NULL,NULL,NULL
929,1194,HTTP://BBQR.IO/BQBET01608,16/03/2020 10:54,16/03/2020 10:55,NULL,16/03/2020 10:55,NULL,NULL,NULL,NULL
930,1194,HTTP://BBQR.IO/BQBET01608,16/03/2020 10:55,16/03/2020 10:56,NULL,16/03/2020 10:56,NULL,NULL,NULL,NULL
931,1194,HTTP://BBQR.IO/BQBET01608,16/03/2020 10:56,16/03/2020 10:57,NULL,16/03/2020 10:57,NULL,NULL,NULL,NULL
932,1194,HTTP://BBQR.IO/BQBET01608,16/03/2020 10:57,16/03/2020 13:16,NULL,16/03/2020 13:16,NULL,NULL,NULL,NULL
939,1194,HTTP://BBQR.IO/BQBET01608,16/03/2020 13:17,16/03/2020 13:18,NULL,16/03/2020 13:18,NULL,NULL,NULL,NULL
940,1194,HTTP://BBQR.IO/BQBET01608,16/03/2020 13:18,25/03/2020 17:36,NULL,25/03/2020 17:36,NULL,NULL,NULL,NULL
1049,1194,HTTP://BBQR.IO/BQBET01608,25/03/2020 17:36,25/03/2020 17:37,NULL,25/03/2020 17:37,NULL,NULL,NULL,NULL
1068,1194,HTTP://BBQR.IO/BQBET01608,30/03/2020 15:04,30/03/2020 15:04,NULL,30/03/2020 15:04,NULL,NULL,NULL,NULL
481,1195,HTTP://BBQR.IO/BQTBD01310,05/03/2020 16:48,05/03/2020 16:49,NULL,05/03/2020 16:49,NULL,NULL,NULL,NULL
482,1195,HTTP://BBQR.IO/BQTBD01310,05/03/2020 16:50,05/03/2020 17:06,NULL,05/03/2020 17:06,NULL,NULL,NULL,NULL
599,1195,HTTP://BBQR.IO/BQTBD01310,09/03/2020 15:37,10/03/2020 19:36,NULL,10/03/2020 19:36,NULL,NULL,NULL,NULL
922,1195,HTTP://BBQR.IO/BQTBD01310,16/03/2020 09:19,16/03/2020 09:20,NULL,16/03/2020 09:20,NULL,NULL,NULL,NULL
923,1195,HTTP://BBQR.IO/BQTBD01310,16/03/2020 09:20,16/03/2020 10:41,NULL,16/03/2020 10:41,NULL,NULL,NULL,NULL
927,1195,HTTP://BBQR.IO/BQTBD01310,16/03/2020 10:41,16/03/2020 10:42,NULL,16/03/2020 10:42,NULL,NULL,NULL,NULL
988,1195,HTTP://BBQR.IO/BQTBD01310,17/03/2020 23:45,18/03/2020 11:21,NULL,18/03/2020 11:21,NULL,NULL,NULL,NULL
470,1197,HTTP://BBQR.IO/BQSOR05127,05/03/2020 10:39,05/03/2020 10:39,NULL,05/03/2020 10:39,NULL,NULL,NULL,NULL
604,1197,HTTP://BBQR.IO/BQSOR05134,09/03/2020 16:52,09/03/2020 16:52,NULL,09/03/2020 16:52,NULL,NULL,NULL,NULL
471,1198,HTTP://BBQR.IO/BQEFF1300,05/03/2020 11:00,05/03/2020 11:09,NULL,05/03/2020 11:09,NULL,NULL,NULL,NULL
472,1198,HTTP://BBQR.IO/BQEFF1300,05/03/2020 11:09,05/03/2020 15:19,NULL,05/03/2020 15:19,NULL,NULL,NULL,NULL
478,1198,HTTP://BBQR.IO/BQSOR05132,05/03/2020 15:19,05/03/2020 15:35,NULL,05/03/2020 15:35,NULL,NULL,NULL,NULL
587,1199,HTTP://BBQR.IO/BQSOR05412,09/03/2020 13:18,09/03/2020 13:50,NULL,09/03/2020 13:50,NULL,NULL,NULL,NULL
723,1199,HTTP://BBQR.IO/BQSOR05412,11/03/2020 12:37,11/03/2020 13:38,NULL,11/03/2020 13:38,NULL,NULL,NULL,NULL
730,1199,HTTP://BBQR.IO/BQSOR05412,11/03/2020 14:11,11/03/2020 14:49,NULL,11/03/2020 14:49,NULL,NULL,NULL,NULL
738,1199,HTTP://BBQR.IO/BQSOR05412,11/03/2020 15:34,11/03/2020 16:44,NULL,11/03/2020 16:44,NULL,NULL,NULL,NULL
851,1199,HTTP://BBQR.IO/BQSOR05412,14/03/2020 14:11,14/03/2020 14:52,NULL,14/03/2020 14:52,NULL,NULL,NULL,NULL
870,1199,HTTP://BBQR.IO/BQSOR05412,14/03/2020 18:50,14/03/2020 19:14,NULL,14/03/2020 19:14,NULL,NULL,NULL,NULL
986,1200,HTTP://BBQR.IO/BQSOR05181,17/03/2020 19:49,17/03/2020 19:49,NULL,17/03/2020 19:49,NULL,NULL,NULL,NULL
990,1200,HTTP://BBQR.IO/BQSOR05181,18/03/2020 09:13,18/03/2020 10:11,NULL,18/03/2020 10:11,NULL,NULL,NULL,NULL
518,1201,HTTP://BBQR.IO/BQSOR05413,07/03/2020 08:13,07/03/2020 13:37,NULL,07/03/2020 13:37,NULL,NULL,NULL,NULL
531,1201,HTTP://BBQR.IO/BQSOR05413,07/03/2020 15:49,07/03/2020 17:25,NULL,07/03/2020 17:25,NULL,NULL,NULL,NULL
545,1201,HTTP://BBQR.IO/BQSOR05413,08/03/2020 11:36,08/03/2020 17:36,NULL,08/03/2020 17:36,NULL,NULL,NULL,NULL
553,1201,HTTP://BBQR.IO/BQSOR05413,08/03/2020 18:44,08/03/2020 21:47,NULL,08/03/2020 21:47,NULL,NULL,NULL,NULL
758,1201,HTTP://BBQR.IO/BQSOR05413,11/03/2020 20:58,12/03/2020 02:59,NULL,12/03/2020 02:59,NULL,NULL,NULL,NULL
797,1201,HTTP://BBQR.IO/BQSOR05413,12/03/2020 19:52,12/03/2020 23:57,NULL,12/03/2020 23:57,NULL,NULL,NULL,NULL
814,1201,HTTP://BBQR.IO/BQSOR05413,13/03/2020 12:01,13/03/2020 18:09,NULL,13/03/2020 18:09,NULL,NULL,NULL,NULL
826,1201,HTTP://BBQR.IO/BQSOR05413,13/03/2020 18:11,13/03/2020 19:04,NULL,13/03/2020 19:04,NULL,NULL,NULL,NULL
925,1201,HTTP://BBQR.IO/BQSOR05413,16/03/2020 09:40,16/03/2020 14:06,NULL,16/03/2020 14:06,NULL,NULL,NULL,NULL
942,1201,HTTP://BBQR.IO/BQSOR05413,16/03/2020 14:06,16/03/2020 15:15,NULL,16/03/2020 15:15,NULL,NULL,NULL,NULL
490,1202,HTTP://BBQR.IO/BQSOR05414,06/03/2020 09:53,06/03/2020 11:19,NULL,06/03/2020 11:19,NULL,NULL,NULL,NULL
492,1202,HTTP://BBQR.IO/BQSOR05414,06/03/2020 13:20,06/03/2020 14:08,NULL,06/03/2020 14:08,NULL,NULL,NULL,NULL
524,1203,HTTP://BBQR.IO/BQSOR05401,07/03/2020 12:07,07/03/2020 12:09,NULL,07/03/2020 12:09,NULL,NULL,NULL,NULL
713,1203,HTTP://BBQR.IO/BQSOR05401,11/03/2020 09:25,11/03/2020 10:44,NULL,11/03/2020 10:44,NULL,NULL,NULL,NULL
821,1203,HTTP://BBQR.IO/BQSOR05401,13/03/2020 16:51,13/03/2020 20:08,NULL,13/03/2020 20:08,NULL,NULL,NULL,NULL
502,1204,HTTP://BBQR.IO/BQSOR05532,06/03/2020 18:05,06/03/2020 18:06,NULL,06/03/2020 18:06,NULL,NULL,NULL,NULL
504,1204,HTTP://BBQR.IO/BQSOR05532,06/03/2020 19:37,06/03/2020 20:27,NULL,06/03/2020 20:27,NULL,NULL,NULL,NULL
